batting_team,bowling_team,city,runs_left,balls_left,wickets_remaining,max_total_run_x,crr,rrr,results
Gujarat Titans,Chennai Super Kings,Ahmedabad,179,125,9,179,-0.0,8.59,1
Gujarat Titans,Chennai Super Kings,Ahmedabad,179,124,8,179,-0.0,8.66,1
Gujarat Titans,Chennai Super Kings,Ahmedabad,179,123,7,179,-0.0,8.73,1
Gujarat Titans,Chennai Super Kings,Ahmedabad,170,119,3,179,54.0,8.57,1
Gujarat Titans,Chennai Super Kings,Ahmedabad,166,118,2,179,39.0,8.44,1
Gujarat Titans,Chennai Super Kings,Ahmedabad,165,117,1,179,28.0,8.46,1
Gujarat Titans,Chennai Super Kings,Ahmedabad,165,116,0,179,21.0,8.53,1
Kolkata Knight Riders,Punjab Kings,Chandigarh,192,125,9,192,-0.0,9.22,0
Kolkata Knight Riders,Punjab Kings,Chandigarh,179,119,3,192,78.0,9.03,0
Kolkata Knight Riders,Punjab Kings,Chandigarh,179,118,2,192,39.0,9.1,0
Kolkata Knight Riders,Punjab Kings,Chandigarh,175,117,1,192,34.0,8.97,0
Kolkata Knight Riders,Punjab Kings,Chandigarh,175,116,0,192,25.5,9.05,0
Delhi Capitals,Lucknow Super Giants,Lucknow,187,119,3,194,42.0,9.43,0
Delhi Capitals,Lucknow Super Giants,Lucknow,186,119,2,194,48.0,9.38,0
Delhi Capitals,Lucknow Super Giants,Lucknow,185,118,1,194,27.0,9.41,0
Delhi Capitals,Lucknow Super Giants,Lucknow,181,117,0,194,26.0,9.28,0
Sunrisers Hyderabad,Rajasthan Royals,Hyderabad,204,125,9,204,-0.0,9.79,0
Sunrisers Hyderabad,Rajasthan Royals,Hyderabad,204,124,8,204,-0.0,9.87,0
Sunrisers Hyderabad,Rajasthan Royals,Hyderabad,204,123,7,204,-0.0,9.95,0
Sunrisers Hyderabad,Rajasthan Royals,Hyderabad,204,122,6,204,-0.0,10.03,0
Sunrisers Hyderabad,Rajasthan Royals,Hyderabad,204,121,5,204,-0.0,10.12,0
Sunrisers Hyderabad,Rajasthan Royals,Hyderabad,202,119,3,204,12.0,10.18,0
Sunrisers Hyderabad,Rajasthan Royals,Hyderabad,201,118,2,204,9.0,10.22,0
Sunrisers Hyderabad,Rajasthan Royals,Hyderabad,201,117,1,204,6.0,10.31,0
Sunrisers Hyderabad,Rajasthan Royals,Hyderabad,197,116,0,204,10.5,10.19,0
Royal Challengers Bangalore,Mumbai Indians,Bengaluru,166,119,3,172,36.0,8.37,1
Royal Challengers Bangalore,Mumbai Indians,Bengaluru,165,118,2,172,21.0,8.39,1
Royal Challengers Bangalore,Mumbai Indians,Bengaluru,164,117,1,172,16.0,8.41,1
Royal Challengers Bangalore,Mumbai Indians,Bengaluru,164,116,0,172,12.0,8.48,1
Lucknow Super Giants,Chennai Super Kings,Chennai,218,125,9,218,-0.0,10.46,0
Lucknow Super Giants,Chennai Super Kings,Chennai,218,124,8,218,-0.0,10.55,0
Lucknow Super Giants,Chennai Super Kings,Chennai,209,119,3,218,54.0,10.54,0
Lucknow Super Giants,Chennai Super Kings,Chennai,208,118,2,218,30.0,10.58,0
