,batting_team,bowling_team,city,runs_left,balls_left,wickets_remaining,total_run_x,crr,rrr,results
0,Gujarat Titans,Rajasthan Royals,Ahmedabad,131,125,9,131,-0.0,6.29,1
1,Gujarat Titans,Rajasthan Royals,Ahmedabad,131,124,8,131,-0.0,6.34,1
2,Gujarat Titans,Rajasthan Royals,Ahmedabad,126,119,3,131,30.0,6.35,1
3,Gujarat Titans,Rajasthan Royals,Ahmedabad,122,118,2,131,27.0,6.2,1
4,Gujarat Titans,Rajasthan Royals,Ahmedabad,122,117,1,131,18.0,6.26,1
5,Gujarat Titans,Rajasthan Royals,Ahmedabad,122,116,0,131,13.5,6.31,1
6,Rajasthan Royals,Royal Challengers Bangalore,Ahmedabad,158,125,9,158,-0.0,7.58,1
7,Rajasthan Royals,Royal Challengers Bangalore,Ahmedabad,158,124,8,158,-0.0,7.65,1
8,Rajasthan Royals,Royal Challengers Bangalore,Ahmedabad,142,119,3,158,96.0,7.16,1
9,Rajasthan Royals,Royal Challengers Bangalore,Ahmedabad,138,118,2,158,60.0,7.02,1
10,Rajasthan Royals,Royal Challengers Bangalore,Ahmedabad,138,117,1,158,40.0,7.08,1
11,Rajasthan Royals,Royal Challengers Bangalore,Ahmedabad,138,116,0,158,30.0,7.14,1
12,Lucknow Super Giants,Royal Challengers Bangalore,Kolkata,208,125,9,208,-0.0,9.98,0
13,Lucknow Super Giants,Royal Challengers Bangalore,Kolkata,208,124,8,208,-0.0,10.06,0
14,Lucknow Super Giants,Royal Challengers Bangalore,Kolkata,200,119,3,208,48.0,10.08,0
15,Lucknow Super Giants,Royal Challengers Bangalore,Kolkata,197,118,2,208,33.0,10.02,0
16,Lucknow Super Giants,Royal Challengers Bangalore,Kolkata,196,117,1,208,24.0,10.05,0
17,Lucknow Super Giants,Royal Challengers Bangalore,Kolkata,196,116,0,208,18.0,10.14,0
18,Gujarat Titans,Rajasthan Royals,Kolkata,189,125,9,189,-0.0,9.07,1
19,Gujarat Titans,Rajasthan Royals,Kolkata,189,124,8,189,-0.0,9.15,1
20,Gujarat Titans,Rajasthan Royals,Kolkata,189,123,7,189,-0.0,9.22,1
21,Gujarat Titans,Rajasthan Royals,Kolkata,185,119,3,189,24.0,9.33,1
22,Gujarat Titans,Rajasthan Royals,Kolkata,181,118,2,189,24.0,9.2,1
23,Gujarat Titans,Rajasthan Royals,Kolkata,180,117,1,189,18.0,9.23,1
24,Gujarat Titans,Rajasthan Royals,Kolkata,180,116,0,189,13.5,9.31,1
25,Punjab Kings,Sunrisers Hyderabad,Mumbai,158,125,9,158,-0.0,7.58,1
